order_line_id,order_id,customer_id,product_id,order_date,quantity,unit_price
1,1,173,95,2024-12-14,5,109.36
2,1,173,43,2024-12-14,4,420.77
3,2,948,11,2024-08-18,2,274.53
4,3,811,162,2025-05-17,5,44.82
5,4,797,5,2023-06-11,4,123.08
6,4,797,21,2023-06-11,1,49.80
7,5,184,181,2023-04-02,5,470.33
8,6,427,198,2024-12-11,4,383.28
9,6,427,178,2024-12-11,2,172.16
10,7,147,70,2024-10-17,5,289.10
11,8,422,45,2023-09-02,5,71.46
12,8,422,178,2023-09-02,1,172.16
13,9,185,128,2025-01-04,5,448.51
14,9,185,23,2025-01-04,3,379.74
15,9,185,90,2025-01-04,4,174.70
16,10,572,50,2023-08-30,1,430.77
17,11,98,93,2024-09-25,5,386.32
18,11,98,130,2024-09-25,2,331.93
19,11,98,119,2024-09-25,2,265.00
20,12,55,29,2023-07-18,2,360.30
21,12,55,176,2023-07-18,4,483.44
22,13,181,172,2023-06-13,1,361.26
23,13,181,14,2023-06-13,3,61.58
24,14,215,65,2024-03-21,3,126.38
25,14,215,158,2024-03-21,4,64.99
26,15,107,14,2025-01-28,5,61.58
27,16,162,8,2025-03-15,4,108.07
28,17,119,61,2023-03-14,4,481.05
29,17,119,152,2023-03-14,5,452.78
30,17,119,84,2023-03-14,4,12.02
31,18,766,84,2024-11-24,2,12.02
32,19,334,26,2023-08-22,2,101.84
33,20,423,52,2025-06-09,4,257.15
34,20,423,57,2025-06-09,1,208.35
35,20,423,121,2025-06-09,5,129.68
36,21,56,112,2025-06-30,2,328.89
37,21,56,56,2025-06-30,5,357.49
38,22,183,96,2024-02-01,2,31.88
39,22,183,118,2024-02-01,2,10.91
40,23,368,52,2023-10-04,3,257.15
41,23,368,33,2023-10-04,1,35.88
42,23,368,178,2023-10-04,5,172.16
43,24,288,29,2023-05-20,4,360.30
44,25,429,195,2023-06-25,3,215.96
45,25,429,57,2023-06-25,3,208.35
46,26,161,164,2025-03-19,5,325.65
47,26,161,44,2025-03-19,5,147.78
48,26,161,142,2025-03-19,2,76.21
49,27,422,134,2025-05-27,4,142.25
50,28,606,119,2024-04-29,3,265.00
51,29,748,189,2024-03-14,2,452.80
52,30,336,149,2024-03-20,2,328.16
53,31,969,147,2023-06-02,1,389.72
54,31,969,107,2023-06-02,1,53.19
55,31,969,11,2023-06-02,4,274.53
56,32,788,9,2024-05-31,4,393.23
57,32,788,136,2024-05-31,4,497.99
58,32,788,123,2024-05-31,1,33.15
59,33,508,22,2023-09-04,5,444.18
60,33,508,193,2023-09-04,1,61.51
61,34,750,56,2024-02-21,2,357.49
62,34,750,92,2024-02-21,3,419.61
63,34,750,62,2024-02-21,1,75.32
64,35,492,79,2024-11-16,2,146.96
65,36,471,147,2025-05-28,5,389.72
66,36,471,7,2025-05-28,4,194.98
67,36,471,119,2025-05-28,2,265.00
68,37,416,95,2023-07-09,4,109.36
69,37,416,181,2023-07-09,1,470.33
70,37,416,161,2023-07-09,1,185.84
71,38,915,86,2024-12-08,5,331.27
72,38,915,9,2024-12-08,3,393.23
73,39,771,179,2023-10-04,5,205.72
74,39,771,139,2023-10-04,5,248.39
75,40,807,21,2024-12-02,5,49.80
76,41,754,132,2023-02-26,3,385.82
77,41,754,14,2023-02-26,1,61.58
78,42,375,159,2024-04-21,1,170.04
79,42,375,94,2024-04-21,3,332.02
80,43,664,181,2024-07-26,1,470.33
81,44,727,53,2025-03-03,2,195.42
82,44,727,86,2025-03-03,2,331.27
83,44,727,139,2025-03-03,1,248.39
84,45,490,193,2025-01-25,5,61.51
85,45,490,180,2025-01-25,2,404.51
86,45,490,193,2025-01-25,2,61.51
87,46,362,129,2023-10-01,4,130.39
88,46,362,71,2023-10-01,1,213.39
89,47,382,116,2023-12-20,4,160.06
90,48,540,32,2025-04-29,4,424.57
91,48,540,182,2025-04-29,5,371.81
92,48,540,174,2025-04-29,5,397.40
93,49,463,95,2024-09-27,1,109.36
94,49,463,49,2024-09-27,4,46.90
95,50,83,46,2024-02-05,3,325.94
96,51,112,71,2023-06-18,1,213.39
97,52,152,39,2024-05-23,2,205.98
98,52,152,134,2024-05-23,1,142.25
99,52,152,76,2024-05-23,4,291.17
100,53,555,122,2023-05-16,3,16.72
101,53,555,108,2023-05-16,4,478.30
102,53,555,189,2023-05-16,1,452.80
103,54,194,6,2023-03-06,2,276.22
104,54,194,134,2023-03-06,3,142.25
105,55,593,168,2023-12-18,3,317.15
106,55,593,125,2023-12-18,5,355.49
107,56,714,141,2024-06-26,4,324.50
108,56,714,118,2024-06-26,3,10.91
109,56,714,146,2024-06-26,2,39.84
110,57,176,67,2025-03-19,2,308.44
111,57,176,124,2025-03-19,3,475.48
112,58,789,13,2025-05-15,2,370.98
113,58,789,91,2025-05-15,3,483.83
114,59,980,159,2023-06-20,2,170.04
115,59,980,183,2023-06-20,5,462.77
116,60,187,182,2023-06-29,2,371.81
117,60,187,42,2023-06-29,2,279.92
118,61,43,148,2023-11-21,2,448.76
119,62,267,48,2024-01-14,2,330.66
120,62,267,144,2024-01-14,1,456.73
121,63,325,38,2023-12-19,3,314.47
122,63,325,115,2023-12-19,5,262.37
123,63,325,42,2023-12-19,5,279.92
124,64,125,104,2023-01-26,4,10.86
125,64,125,197,2023-01-26,2,164.18
126,65,951,40,2023-11-24,1,274.82
127,65,951,190,2023-11-24,5,230.80
128,66,340,181,2024-10-24,3,470.33
129,66,340,122,2024-10-24,3,16.72
130,66,340,194,2024-10-24,5,36.23
131,67,151,145,2025-03-29,4,56.12
132,67,151,87,2025-03-29,1,404.87
133,67,151,188,2025-03-29,4,12.10
134,68,143,142,2024-11-25,1,76.21
135,69,26,159,2024-02-16,2,170.04
136,69,26,115,2024-02-16,3,262.37
137,70,335,156,2023-02-26,2,272.35
138,71,540,197,2023-08-16,3,164.18
139,71,540,51,2023-08-16,1,313.50
140,71,540,22,2023-08-16,5,444.18
141,72,694,23,2024-11-18,5,379.74
142,72,694,101,2024-11-18,2,192.99
143,73,326,155,2024-09-09,5,422.79
144,73,326,15,2024-09-09,3,166.05
145,74,152,110,2025-01-03,3,170.80
146,74,152,99,2025-01-03,3,202.37
147,75,292,90,2023-12-20,3,174.70
148,76,896,23,2024-07-28,2,379.74
149,76,896,187,2024-07-28,4,125.12
150,77,426,114,2025-04-02,3,368.48
151,77,426,42,2025-04-02,4,279.92
152,77,426,187,2025-04-02,4,125.12
153,78,856,154,2024-08-24,1,241.67
154,79,213,122,2023-11-07,5,16.72
155,80,68,194,2024-08-27,4,36.23
156,80,68,23,2024-08-27,1,379.74
157,81,655,107,2023-10-07,2,53.19
158,81,655,143,2023-10-07,4,113.09
159,82,582,36,2025-02-12,2,433.50
160,82,582,48,2025-02-12,4,330.66
161,82,582,75,2025-02-12,5,35.39
162,83,44,78,2025-04-22,5,405.39
163,83,44,78,2025-04-22,4,405.39
164,84,758,58,2024-04-19,1,21.55
165,84,758,1,2024-04-19,2,205.80
166,84,758,68,2024-04-19,3,269.83
167,85,855,121,2024-10-13,1,129.68
168,85,855,168,2024-10-13,3,317.15
169,85,855,107,2024-10-13,2,53.19
170,86,929,166,2024-12-05,2,332.05
